LTLA23CD,UTLA23CD
E07000032,E10000007
E07000033,E10000007
E07000034,E10000007
E07000035,E10000007
E07000036,E10000007
E07000037,E10000007
E07000038,E10000007
E07000039,E10000007
E07000040,E10000008
E07000041,E10000008
E07000042,E10000008
E07000043,E10000008
E07000044,E10000008
E07000045,E10000008
E07000046,E10000008
E07000047,E10000008
E07000061,E10000011
E07000062,E10000011
E07000063,E10000011
E07000064,E10000011
E07000065,E10000011
E07000066,E10000012
E07000067,E10000012
E07000068,E10000012
E07000069,E10000012
E07000070,E10000012
E07000071,E10000012
E07000072,E10000012
E07000073,E10000012
E07000074,E10000012
E07000075,E10000012
E07000076,E10000012
E07000077,E10000012
E07000078,E10000013
E07000079,E10000013
E07000080,E10000013
E07000137,E10000019
E07000138,E10000019
E07000139,E10000019
E07000140,E10000019
E07000141,E10000019
E07000142,E10000019
E07000143,E10000020
E07000144,E10000020
E07000145,E10000020
E07000146,E10000020
E07000147,E10000020
E07000148,E10000020
E07000149,E10000020
E07000170,E10000024
E07000171,E10000024
E07000172,E10000024
E07000173,E10000024
E07000174,E10000024
E07000175,E10000024
E07000176,E10000024
E07000177,E10000025
E07000178,E10000025
E07000179,E10000025
E07000180,E10000025
E07000181,E10000025
E07000192,E10000028
E07000193,E10000028
E07000194,E10000028
E07000195,E10000028
E07000196,E10000028
E07000197,E10000028
E07000198,E10000028
E07000199,E10000028
E07000200,E10000029
E07000202,E10000029
E07000203,E10000029
E07000207,E10000030
E07000208,E10000030
E07000209,E10000030
E07000210,E10000030
E07000211,E10000030
E07000212,E10000030
E07000213,E10000030
E07000214,E10000030
E07000215,E10000030
E07000216,E10000030
E07000217,E10000030
E07000218,E10000031
E07000219,E10000031
E07000220,E10000031
E07000221,E10000031
E07000222,E10000031
E08000035,E08000035
E08000036,E08000036
E08000037,E08000037
E09000001,E09000001
E09000002,E09000002
E09000003,E09000003
E09000004,E09000004
E09000005,E09000005
E09000006,E09000006
E09000007,E09000007
E09000008,E09000008
E09000009,E09000009
E09000010,E09000010
E09000011,E09000011
E09000012,E09000012
E09000013,E09000013
E09000014,E09000014
E09000015,E09000015
E09000016,E09000016
E09000017,E09000017
E09000018,E09000018
E09000019,E09000019
E09000020,E09000020
E09000021,E09000021
E09000022,E09000022
E09000023,E09000023
E09000024,E09000024
E09000025,E09000025
E09000026,E09000026
E09000027,E09000027
E09000028,E09000028
E09000029,E09000029
E09000030,E09000030
E09000031,E09000031
E09000032,E09000032
E09000033,E09000033
N09000001,N09000001
N09000002,N09000002
N09000003,N09000003
N09000004,N09000004
N09000005,N09000005
N09000006,N09000006
N09000007,N09000007
N09000008,N09000008
N09000009,N09000009
N09000010,N09000010
N09000011,N09000011
S12000005,S12000005
S12000006,S12000006
S12000008,S12000008
S12000010,S12000010
S12000011,S12000011
S12000013,S12000013
S12000014,S12000014
S12000017,S12000017
S12000018,S12000018
S12000019,S12000019
S12000020,S12000020
S12000021,S12000021
S12000023,S12000023
S12000026,S12000026
S12000027,S12000027
S12000028,S12000028
S12000029,S12000029
S12000030,S12000030
S12000033,S12000033
S12000034,S12000034
S12000035,S12000035
S12000036,S12000036
S12000038,S12000038
S12000039,S12000039
S12000040,S12000040
S12000041,S12000041
S12000042,S12000042
S12000045,S12000045
S12000047,S12000047
S12000048,S12000048
S12000049,S12000049
S12000050,S12000050
W06000001,W06000001
W06000002,W06000002
W06000003,W06000003
W06000004,W06000004
W06000005,W06000005
W06000006,W06000006
W06000008,W06000008
W06000009,W06000009
W06000010,W06000010
W06000011,W06000011
W06000012,W06000012
W06000013,W06000013
W06000014,W06000014
W06000015,W06000015
W06000016,W06000016
W06000018,W06000018
W06000019,W06000019
W06000020,W06000020
W06000021,W06000021
W06000022,W06000022
W06000023,W06000023
W06000024,W06000024
E07000223,E10000032
E07000224,E10000032
E07000225,E10000032
E07000226,E10000032
E07000227,E10000032
E07000228,E10000032
E07000229,E10000032
E07000234,E10000034
E07000235,E10000034
E07000236,E10000034
E07000237,E10000034
E07000238,E10000034
E07000239,E10000034
E07000240,E10000015
E07000241,E10000015
E07000242,E10000015
E07000243,E10000015
E07000244,E10000029
E07000245,E10000029
E08000001,E08000001
E08000002,E08000002
E08000003,E08000003
E08000004,E08000004
E08000005,E08000005
E08000006,E08000006
E08000007,E08000007
E08000008,E08000008
E08000009,E08000009
E08000010,E08000010
E08000011,E08000011
E08000012,E08000012
E08000013,E08000013
E08000014,E08000014
E08000015,E08000015
E08000016,E08000016
E08000017,E08000017
E08000018,E08000018
E08000019,E08000019
E08000021,E08000021
E08000022,E08000022
E08000023,E08000023
E08000024,E08000024
E08000025,E08000025
E08000026,E08000026
E08000027,E08000027
E08000028,E08000028
E08000029,E08000029
E08000030,E08000030
E08000031,E08000031
E08000032,E08000032
E08000033,E08000033
E08000034,E08000034
